4294	2007-12-31	22	36	73
4396	2007-12-31	6	\N	4
4296	2007-12-31	39	16	23
130615	2007-12-31	27	27	24
17372	2007-12-31	61	11	70
3822	2007-12-31	25	49	30
3300	2007-12-31	60	\N	25
17505	2007-12-31	17	58	91
3124	2007-12-31	57	45	42
17364	2007-12-31	73	9	43
182962	2007-12-31	52	4	100
2842	2007-12-31	59	5	84
3897	2007-12-31	67	39	46
126661	2007-12-31	45	24	63
17358	2007-12-31	42	52	79
17385	2007-12-31	16	59	29
2910	2007-12-31	81	83	54
17806	2007-12-31	28	95	58
2830	2007-12-31	92	2	89
127335	2007-12-31	6	64	49
126910	2007-12-31	38	\N	1
3180	2007-12-31	88	48	6
3181	2007-12-31	98	89	31
4134	2007-12-31	60	33	61
17378	2007-12-31	52	56	69
3916	2007-12-31	35	44	80
17491	2007-12-31	92	13	45
3007	2007-12-31	75	\N	\N
126416	2007-12-31	18	\N	61
11775	2007-12-31	96	76	48
2901	2007-12-31	51	28	69
17360	2007-12-31	76	42	63
4367	2007-12-31	7	12	20
6220	2007-12-31	35	72	93
3713	2007-12-31	12	92	70
3989	2007-12-31	84	93	75
3204	2007-12-31	41	47	9
17513	2007-12-31	64	11	15
17455	2007-12-31	9	35	62
3745	2007-12-31	9	65	86
3410	2007-12-31	24	2	100
4291	2007-12-31	24	56	62
3309	2007-12-31	24	32	40
128376	2007-12-31	83	45	37
3421	2007-12-31	22	79	21
17405	2007-12-31	88	46	39
17511	2007-12-31	64	64	68
3353	2007-12-31	66	64	84
3331	2007-12-31	55	79	28
3401	2007-12-31	25	43	79
19133	2007-12-31	25	\N	12
12602	2007-12-31	92	85	16
17412	2007-12-31	19	85	5
17453	2007-12-31	49	55	55
3344	2007-12-31	88	54	47
3342	2007-12-31	17	33	40
3466	2007-12-31	82	57	86
4186	2007-12-31	42	62	52
4314	2007-12-31	34	\N	94
3380	2007-12-31	46	10	89
14588	2007-12-31	39	86	15
4073	2007-12-31	35	41	35
4105	2007-12-31	92	68	40
3467	2007-12-31	67	\N	58
2946	2007-12-31	1	23	100
17362	2007-12-31	77	70	91
17479	2007-12-31	26	65	26
3477	2007-12-31	32	54	80
3337	2007-12-31	80	27	82
3427	2007-12-31	82	\N	12
3429	2007-12-31	91	77	42
17432	2007-12-31	62	64	28
4141	2007-12-31	92	66	80
3557	2007-12-31	76	66	31
127976	2007-12-31	27	60	1
5213	2007-12-31	3	84	1
3130	2007-12-31	7	\N	42
3833	2007-12-31	35	\N	76
4255	2007-12-31	53	27	81
3307	2007-12-31	34	97	31
17662	2007-12-31	34	79	3
17427	2007-12-31	23	4	100
3543	2007-12-31	63	66	39
3552	2007-12-31	57	48	43
17435	2007-12-31	70	58	47
3796	2007-12-31	53	\N	10
4074	2007-12-31	22	\N	45
17792	2007-12-31	56	75	29
3677	2007-12-31	5	\N	22
3044	2007-12-31	53	96	55
3620	2007-12-31	38	9	66
17467	2007-12-31	13	16	25
3827	2007-12-31	78	13	49
3004	2007-12-31	64	53	61
17426	2007-12-31	90	59	27
3800	2007-12-31	15	\N	2
4128	2007-12-31	60	\N	89
17370	2007-12-31	27	\N	\N
17371	2007-12-31	14	58	81
3613	2007-12-31	71	6	83
3108	2007-12-31	34	\N	\N
17359	2007-12-31	76	98	31
17443	2007-12-31	28	99	84
17446	2007-12-31	95	89	28
8632	2007-12-31	42	\N	9
17889	2007-12-31	99	25	27
4239	2007-12-31	49	78	46
3747	2007-12-31	67	63	51
2846	2007-12-31	37	88	48
4248	2007-12-31	35	54	47
3717	2007-12-31	19	32	53
5045	2007-12-31	26	56	77
3732	2007-12-31	28	49	77
18171	2007-12-31	15	15	82
99850	2007-12-31	76	\N	14
126969	2007-12-31	6	\N	7
18220	2007-12-31	94	41	93
126426	2007-12-31	17	\N	55
117405	2007-12-31	77	\N	\N
17594	2007-12-31	14	8	35
17368	2007-12-31	79	62	36
4187	2007-12-31	95	26	95
15775	2007-12-31	38	\N	46
17204	2007-12-31	11	86	45
6578	2007-12-31	50	55	27
17381	2007-12-31	7	1	52
3027	2007-12-31	38	67	28
3875	2007-12-31	4	50	4
3964	2007-12-31	52	72	44
3971	2007-12-31	11	\N	14
4054	2007-12-31	43	45	67
3888	2007-12-31	16	1	28
4322	2007-12-31	96	55	75
17457	2007-12-31	54	10	66
1868	2007-12-31	21	\N	13
2997	2007-12-31	80	45	54
4004	2007-12-31	46	\N	99
2884	2007-12-31	12	\N	2
127346	2007-12-31	88	\N	69
4358	2007-12-31	88	34	41
3059	2007-12-31	74	49	66
17495	2007-12-31	59	\N	99
4260	2007-12-31	87	89	20
17399	2007-12-31	60	41	72
17515	2007-12-31	62	50	66
17516	2007-12-31	57	76	50
4373	2007-12-31	12	32	42
4409	2007-12-31	33	17	3
4328	2007-12-31	59	80	32
4410	2007-12-31	64	97	2
17525	2007-12-31	8	96	65
126434	2007-12-31	96	\N	66
4822	2007-12-31	54	9	98
4784	2007-12-31	72	83	66
4940	2007-12-31	27	38	83
4437	2007-12-31	71	\N	19
4500	2007-12-31	60	\N	\N
4707	2007-12-31	37	70	17
4852	2007-12-31	75	29	31
